FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2018-2022
12000,Florida,,10.3%,14.9%,18.3%,22.3%,26.2%,32.3%
12001,"Alachua, FL        ",2,23.1%,29.4%,34.6%,38.7%,41.2%,46.7%
12003,"Baker, FL        ",1,3.6%,5.7%,5.7%,8.2%,8.4%,14.1%
12005,"Bay, FL        ",3,9.2%,13.2%,15.7%,17.7%,21.3%,26.6%
12007,"Bradford, FL        ",6,4.5%,7.6%,8.1%,8.4%,8.6%,13.2%
12009,"Brevard, FL        ",2,15.1%,17.1%,20.4%,23.6%,26.2%,32.9%
12011,"Broward, FL        ",1,9.7%,15.1%,18.8%,24.5%,29.9%,34.9%
12013,"Calhoun, FL        ",8,6.0%,6.9%,8.2%,7.7%,8.5%,11.1%
12015,"Charlotte, FL        ",3,8.8%,12.8%,13.4%,17.6%,21.1%,25.1%
12017,"Citrus, FL        ",3,6.0%,7.1%,10.4%,13.2%,16.4%,19.7%
12019,"Clay, FL        ",1,9.8%,16.8%,17.9%,20.1%,23.5%,27.6%
12021,"Collier, FL        ",2,15.5%,18.5%,22.3%,27.9%,31.4%,38.7%
12023,"Columbia, FL        ",4,8.3%,9.3%,11.0%,10.9%,13.2%,16.0%
12027,"DeSoto, FL        ",6,4.8%,8.2%,7.6%,8.4%,10.8%,11.6%
12029,"Dixie, FL        ",8,5.6%,4.9%,6.2%,6.8%,8.1%,8.0%
12031,"Duval, FL        ",1,8.9%,14.0%,18.4%,21.9%,25.6%,32.2%
12033,"Escambia, FL        ",2,9.2%,14.1%,18.2%,21.0%,23.2%,28.1%
12035,"Flagler, FL        ",2,4.7%,13.7%,17.3%,21.2%,23.5%,28.4%
12037,"Franklin, FL        ",8,4.6%,9.0%,12.4%,12.4%,15.2%,21.0%
12039,"Gadsden, FL        ",2,4.6%,8.6%,11.2%,12.9%,14.0%,19.7%
12041,"Gilchrist, FL        ",2,2.7%,7.1%,7.4%,9.4%,11.8%,14.6%
12043,"Glades, FL        ",8,3.1%,7.8%,7.1%,9.8%,10.2%,13.0%
12045,"Gulf, FL        ",8,5.7%,6.8%,9.2%,10.1%,13.8%,21.4%
12047,"Hamilton, FL        ",8,5.5%,5.9%,7.0%,7.3%,8.1%,9.2%
12049,"Hardee, FL        ",6,4.5%,7.4%,8.6%,8.4%,8.7%,10.4%
12051,"Hendry, FL        ",4,7.6%,7.6%,10.0%,8.2%,9.7%,10.5%
12053,"Hernando, FL        ",1,6.1%,8.6%,9.7%,12.7%,15.7%,20.0%
12055,"Highlands, FL        ",3,8.1%,9.7%,10.9%,13.6%,15.2%,18.3%
12057,"Hillsborough, FL        ",1,8.6%,14.5%,20.2%,25.1%,29.0%,36.2%
12059,"Holmes, FL        ",8,3.4%,6.0%,7.4%,8.8%,11.0%,11.0%
12061,"Indian River, FL        ",3,10.7%,15.5%,19.1%,23.1%,26.8%,32.7%
12063,"Jackson, FL        ",6,6.4%,8.1%,10.9%,12.8%,13.6%,13.9%
