FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2018-2022
12000,Florida,,30.7%,35.0%,30.1%,28.7%,29.8%,27.7%
12001,"Alachua, FL        ",2,24.5%,26.3%,21.7%,20.3%,21.0%,20.0%
12003,"Baker, FL        ",1,26.5%,35.3%,37.4%,41.4%,47.9%,42.4%
12005,"Bay, FL        ",3,31.5%,35.7%,30.6%,30.6%,31.2%,28.1%
12007,"Bradford, FL        ",6,25.7%,33.7%,36.8%,40.1%,37.2%,39.0%
12009,"Brevard, FL        ",2,38.5%,38.1%,30.3%,28.9%,29.9%,26.1%
12011,"Broward, FL        ",1,33.3%,37.5%,31.7%,28.4%,27.9%,26.8%
12013,"Calhoun, FL        ",8,21.8%,30.2%,30.3%,38.6%,40.6%,42.0%
12015,"Charlotte, FL        ",3,33.0%,38.4%,38.0%,35.7%,34.3%,33.7%
12017,"Citrus, FL        ",3,27.1%,36.6%,36.7%,38.0%,38.7%,37.7%
12019,"Clay, FL        ",1,33.7%,38.6%,32.1%,31.7%,29.9%,27.9%
12021,"Collier, FL        ",2,30.3%,35.5%,30.1%,26.2%,27.1%,25.9%
12023,"Columbia, FL        ",4,27.6%,34.4%,33.5%,34.9%,34.5%,36.1%
12027,"DeSoto, FL        ",6,24.6%,33.1%,30.8%,35.3%,39.1%,39.8%
12029,"Dixie, FL        ",8,24.9%,35.4%,33.0%,39.4%,38.2%,48.3%
12031,"Duval, FL        ",1,32.3%,35.7%,30.9%,29.1%,28.9%,27.9%
12033,"Escambia, FL        ",2,31.5%,36.4%,28.5%,28.3%,29.3%,27.5%
12035,"Flagler, FL        ",2,29.4%,38.0%,33.1%,31.9%,33.5%,31.0%
12037,"Franklin, FL        ",8,24.3%,27.1%,30.6%,36.4%,35.2%,32.2%
12039,"Gadsden, FL        ",2,19.9%,29.4%,30.4%,35.9%,36.9%,35.2%
12041,"Gilchrist, FL        ",2,23.4%,36.1%,33.6%,36.1%,40.4%,39.1%
12043,"Glades, FL        ",8,23.1%,35.9%,33.5%,36.8%,39.5%,34.5%
12045,"Gulf, FL        ",8,30.2%,42.5%,36.9%,37.1%,36.4%,34.1%
12047,"Hamilton, FL        ",8,22.7%,36.1%,37.7%,35.1%,40.9%,44.1%
12049,"Hardee, FL        ",6,24.3%,29.7%,31.6%,31.5%,34.2%,47.0%
12051,"Hendry, FL        ",4,22.5%,33.2%,31.2%,29.1%,34.2%,36.4%
12053,"Hernando, FL        ",1,26.6%,37.8%,37.3%,37.7%,37.9%,32.6%
12055,"Highlands, FL        ",3,26.4%,34.2%,35.3%,34.6%,36.2%,35.5%
12057,"Hillsborough, FL        ",1,30.5%,35.0%,28.8%,26.7%,28.0%,26.0%
12059,"Holmes, FL        ",8,21.6%,30.6%,33.8%,37.8%,38.1%,45.7%
12061,"Indian River, FL        ",3,32.0%,33.8%,30.6%,29.1%,28.1%,26.7%
12063,"Jackson, FL        ",6,23.7%,32.1%,30.8%,32.7%,34.9%,39.7%
12065,"Jefferson, FL        ",2,20.7%,30.1%,31.3%,32.2%,36.1%,37.2%
12067,"Lafayette, FL        ",9,23.3%,33.6%,37.4%,40.1%,39.8%,50.5%
12069,"Lake, FL        ",1,28.3%,34.9%,35.2%,34.3%,34.6%,30.6%
12071,"Lee, FL        ",2,32.1%,37.6%,33.8%,32.5%,32.5%,30.2%
12073,"Leon, FL        ",2,26.3%,27.5%,21.6%,18.9%,20.1%,19.2%
12075,"Levy, FL        ",2,23.7%,34.9%,35.0%,38.2%,38.3%,41.8%
12077,"Liberty, FL        ",8,21.9%,33.5%,32.8%,40.4%,40.6%,41.6%
12079,"Madison, FL        ",8,18.1%,25.9%,29.3%,34.2%,39.7%,35.7%
12081,"Manatee, FL        ",2,30.6%,38.1%,34.7%,31.9%,30.8%,29.3%
12083,"Marion, FL        ",2,29.5%,36.3%,34.7%,35.9%,36.3%,35.1%
12085,"Martin, FL        ",2,31.9%,36.5%,32.0%,28.3%,26.4%,24.8%
12086,"Miami-Dade, FL        ",1,29.5%,30.4%,23.1%,22.3%,27.9%,26.5%
12087,"Monroe, FL        ",4,36.0%,36.5%,29.1%,28.9%,29.2%,28.3%
12089,"Nassau, FL        ",1,27.1%,37.7%,38.3%,34.4%,35.0%,29.3%
12091,"Okaloosa, FL        ",2,40.9%,41.4%,28.8%,27.1%,27.6%,24.6%
12093,"Okeechobee, FL        ",4,21.5%,34.9%,32.4%,33.9%,34.0%,35.6%
12095,"Orange, FL        ",1,32.1%,36.3%,29.2%,25.8%,27.1%,24.0%
12097,"Osceola, FL        ",1,29.9%,37.8%,36.4%,33.9%,35.6%,29.6%
12099,"Palm Beach, FL        ",1,30.6%,35.5%,30.1%,26.9%,26.0%,23.1%
12101,"Pasco, FL        ",1,28.4%,36.9%,35.9%,36.8%,34.7%,33.1%
12103,"Pinellas, FL        ",1,30.4%,36.1%,31.7%,29.7%,30.4%,26.6%
12105,"Polk, FL        ",2,27.1%,34.4%,33.0%,33.7%,36.2%,33.9%
12107,"Putnam, FL        ",4,26.7%,34.7%,35.5%,37.3%,39.4%,41.7%
