FIPS*,County name,RUC code,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2020,Pop. 2023,Change 2020-23,,
12000,Florida,,"12,938,071","15,982,571","18,804,589","21,538,216","22,610,726",5.0%,,
12001,Alachua,2,"181,596","217,964","247,337","278,474","285,994",2.7%,,
12003,Baker,1,"18,486","22,255","27,115","28,255","28,368",0.4%,,
12005,Bay,3,"126,994","148,270","168,843","175,208","190,769",8.9%,,
12007,Bradford,6,"22,515","26,096","28,519","28,302","27,858",-1.6%,,
12009,Brevard,2,"398,978","476,299","543,376","606,621","643,979",6.2%,,
12011,Broward,1,"1,255,531","1,622,974","1,748,158","1,944,381","1,962,531",0.9%,,
12013,Calhoun,8,"11,011","13,002","14,632","13,644","13,470",-1.3%,,
12015,Charlotte,3,"110,975","141,620","159,974","186,825","206,134",10.3%,,
12017,Citrus,3,"93,513","118,106","141,229","153,849","166,696",8.4%,,
12019,Clay,1,"105,986","140,788","190,872","218,248","232,439",6.5%,,
12021,Collier,2,"152,099","251,412","321,514","375,760","404,310",7.6%,,
12023,Columbia,4,"42,613","56,413","67,526","69,694","73,063",4.8%,,
12027,DeSoto,6,"23,865","32,204","34,862","33,976","35,979",5.9%,,
12029,Dixie,8,"10,585","13,758","16,422","16,756","17,465",4.2%,,
12031,Duval,1,"672,971","778,896","864,253","995,566","1,030,822",3.5%,,
12033,Escambia,2,"262,445","294,415","297,632","321,900","326,928",1.6%,,
12035,Flagler,2,"28,701","49,818","95,691","115,372","131,439",13.9%,,
12037,Franklin,8,"8,967","9,827","11,549","12,452","12,594",1.1%,,
12039,Gadsden,2,"41,116","45,017","47,737","43,819","43,833",0.0%,,
12041,Gilchrist,2,"9,667","14,429","16,944","17,858","19,587",9.7%,,
12043,Glades,8,"7,591","10,531","12,890","12,128","12,786",5.4%,,
12045,Gulf,8,"11,504","14,548","15,863","14,199","15,693",10.5%,,
12047,Hamilton,8,"10,930","13,321","14,799","14,003","13,471",-3.8%,,
12049,Hardee,6,"19,499","26,854","27,737","25,330","25,760",1.7%,,
12051,Hendry,4,"25,773","36,184","39,141","39,621","43,333",9.4%,,
12053,Hernando,1,"101,115","130,795","172,778","194,508","212,807",9.4%,,
12055,Highlands,3,"68,432","87,391","98,786","101,239","107,614",6.3%,,
12057,Hillsborough,1,"834,054","998,994","1,229,207","1,459,779","1,535,564",5.2%,,
12059,Holmes,8,"15,778","18,564","19,924","19,659","19,944",1.4%,,
12061,Indian River,3,"90,208","112,877","138,028","159,791","169,795",6.3%,,
12063,Jackson,6,"41,375","46,781","49,763","47,314","48,622",2.8%,,
12065,Jefferson,2,"11,296","12,876","14,761","14,513","15,450",6.5%,,
12067,Lafayette,9,"5,578","7,019","8,868","8,225","8,078",-1.8%,,
12069,Lake,1,"152,104","210,418","297,047","383,962","424,462",10.5%,,
12071,Lee,2,"335,113","440,910","618,761","760,814","834,573",9.7%,,
12073,Leon,2,"192,493","239,509","275,483","292,206","296,913",1.6%,,
12075,Levy,2,"25,912","34,448","40,803","42,909","46,545",8.5%,,
12077,Liberty,8,"5,569","7,011","8,367","7,978","7,706",-3.4%,,
12079,Madison,8,"16,569","18,720","19,228","17,972","18,519",3.0%,,
12081,Manatee,2,"211,707","263,996","322,879","399,714","441,095",10.4%,,
12083,Marion,2,"194,835","258,873","331,296","375,904","409,959",9.1%,,
12085,Martin,2,"100,900","126,777","146,851","158,434","163,315",3.1%,,
12086,Miami-Dade,1,"1,937,194","2,253,793","2,498,003","2,701,776","2,686,867",-0.6%,,
12087,Monroe,4,"78,024","79,602","73,090","82,872","80,614",-2.7%,,
12089,Nassau,1,"43,941","57,645","73,314","90,353","101,501",12.3%,,
12091,Okaloosa,2,"143,777","170,520","180,824","211,666","218,464",3.2%,,
12093,Okeechobee,4,"29,627","35,869","39,987","39,642","41,427",4.5%,,
12095,Orange,1,"677,491","896,123","1,145,949","1,429,908","1,471,416",2.9%,,
12097,Osceola,1,"107,728","172,520","268,685","388,664","437,784",12.6%,,
12099,Palm Beach,1,"863,503","1,131,189","1,320,124","1,492,199","1,533,801",2.8%,,
12101,Pasco,1,"281,131","344,749","464,707","561,893","632,996",12.7%,,
12103,Pinellas,1,"851,659","921,500","916,799","959,111","961,596",0.3%,,
12105,Polk,2,"405,382","483,888","602,068","725,048","818,330",12.9%,,
12107,Putnam,4,"65,070","70,418","74,380","73,319","75,955",3.6%,,
12109,St. Johns,1,"83,829","123,237","190,040","273,422","320,110",17.1%,,
12111,St. Lucie,2,"150,171","192,679","277,257","329,226","373,586",13.5%,,
12113,Santa Rosa,2,"81,961","117,752","151,371","187,999","203,162",8.1%,,
12115,Sarasota,2,"277,776","326,002","379,427","434,010","469,013",8.1%,,
12117,Seminole,1,"287,521","365,448","422,720","470,857","484,271",2.8%,,
12119,Sumter,3,"31,577","53,337","93,420","129,745","151,565",16.8%,,
12121,Suwannee,6,"26,780","34,881","41,552","43,472","46,130",6.1%,,
12123,Taylor,6,"17,111","19,253","22,572","21,799","21,582",-1.0%,,
12125,Union,8,"10,252","13,428","15,537","16,143","15,532",-3.8%,,
12127,Volusia,2,"370,737","443,385","494,592","553,537","590,357",6.7%,,
12129,Wakulla,2,"14,202","22,857","30,781","33,763","36,449",8.0%,,
12131,Walton,2,"27,759","40,561","55,044","75,307","86,354",14.7%,,
12133,Washington,3,"16,919","20,975","24,901","25,323","25,602",1.1%,,
53000,Washington,,"4,866,669","5,894,281","6,724,540","7,705,267","7,812,880",1.4%,,
53001,Adams,6,"13,603","16,426","18,731","20,609","20,820",1.0%,,
53003,Asotin,3,"17,605","20,553","21,623","22,286","22,549",1.2%,,
53005,Benton,2,"112,560","142,473","175,168","206,868","215,219",4.0%,,
53007,Chelan,3,"52,250","66,611","72,460","79,081","79,997",1.2%,,
53009,Clallam,5,"56,210","64,183","71,396","77,166","77,616",0.6%,,
53011,Clark,1,"238,053","345,235","425,360","503,306","521,150",3.5%,,
53013,Columbia,8,"4,024","4,064","4,078","3,952","4,053",2.6%,,
53015,Cowlitz,3,"82,119","92,945","102,408","110,728","112,864",1.9%,,
53017,Douglas,3,"26,205","32,589","38,427","42,933","44,798",4.3%,,
53019,Ferry,8,"6,295","7,262","7,554","7,180","7,497",4.4%,,
53021,Franklin,2,"37,473","49,378","78,160","96,748","99,034",2.4%,,
53023,Garfield,8,"2,248","2,397","2,266","2,284","2,363",3.5%,,
53025,Grant,5,"54,798","74,714","89,124","99,125","102,678",3.6%,,
53027,Grays Harbor,4,"64,175","67,141","72,800","75,634","77,290",2.2%,,
53029,Island,4,"60,195","71,571","78,508","86,851","86,267",-0.7%,,
53031,Jefferson,6,"20,406","26,301","29,880","32,971","33,714",2.3%,,
53033,King,1,"1,507,305","1,737,075","1,931,289","2,269,697","2,271,380",0.1%,,
53035,Kitsap,2,"189,731","231,982","251,143","275,612","277,658",0.7%,,
53037,Kittitas,4,"26,725","33,369","40,910","44,310","45,508",2.7%,,
53039,Klickitat,9,"16,616","19,170","20,317","22,730","23,589",3.8%,,
53041,Lewis,4,"59,358","68,585","75,457","82,143","86,154",4.9%,,
53043,Lincoln,8,"8,864","10,173","10,570","10,878","11,738",7.9%,,
53045,Mason,4,"38,341","49,443","60,689","65,723","68,389",4.1%,,
53047,Okanogan,6,"33,350","39,567","41,117","42,090","43,712",3.9%,,
53049,Pacific,7,"18,882","20,979","20,919","23,368","24,200",3.6%,,
53051,Pend Oreille,8,"8,915","11,706","13,001","13,400","14,361",7.2%,,
53053,Pierce,1,"586,203","700,816","795,220","921,147","928,696",0.8%,,
53055,San Juan,9,"10,035","14,052","15,768","17,786","18,566",4.4%,,
53057,Skagit,3,"79,545","103,017","116,892","129,524","131,417",1.5%,,
53059,Skamania,1,"8,289","9,876","11,070","12,033","12,640",5.0%,,
53061,Snohomish,1,"465,628","606,043","713,299","827,953","844,761",2.0%,,
53063,Spokane,2,"361,333","417,968","471,220","539,340","551,455",2.2%,,
53065,Stevens,2,"30,948","40,082","43,532","46,450","48,837",5.1%,,
53067,Thurston,2,"161,238","207,392","252,260","294,792","299,003",1.4%,,
53069,Wahkiakum,8,"3,327","3,824","3,979","4,424","4,765",7.7%,,
53071,Walla Walla,3,"48,439","55,177","58,781","62,585","61,568",-1.6%,,
53073,Whatcom,3,"127,780","166,822","201,146","226,852","231,919",2.2%,,
53075,Whitman,4,"38,775","40,742","44,778","47,970","48,012",0.1%,,
53077,Yakima,2,"188,823","222,578","243,240","256,738","256,643",0.0%,,
41000,Oregon,,"2,842,337","3,421,524","3,831,083","4,237,279","4,233,358",-0.1%,,
41001,Baker,7,"15,317","16,742","16,138","16,671","16,912",1.4%,,
41003,Benton,3,"70,811","78,143","85,581","95,183","97,713",2.7%,,
41005,Clackamas,1,"278,850","338,407","375,991","421,398","423,173",0.4%,,
41007,Clatsop,4,"33,301","35,634","37,034","41,076","41,102",0.1%,,
41009,Columbia,1,"37,557","43,553","49,350","52,593","53,880",2.4%,,
41011,Coos,5,"60,273","62,795","63,055","64,933","64,212",-1.1%,,
41013,Crook,3,"14,111","19,175","20,978","24,738","26,952",8.9%,,
41015,Curry,7,"19,327","21,147","22,364","23,450","23,296",-0.7%,,
41017,Deschutes,3,"74,976","115,372","157,728","198,251","208,513",5.2%,,
41019,Douglas,4,"94,649","100,375","107,684","111,203","112,435",1.1%,,
41021,Gilliam,9,"1,717","1,910","1,871","1,996","2,026",1.5%,,
41023,Grant,9,"7,853","7,934","7,444","7,232","7,215",-0.2%,,
41025,Harney,9,"7,060","7,606","7,422","7,504","7,440",-0.9%,,
41027,Hood River,6,"16,903","20,407","22,346","23,980","23,745",-1.0%,,
41029,Jackson,3,"146,387","181,281","203,206","223,255","220,768",-1.1%,,
41031,Jefferson,3,"13,676","18,995","21,725","24,508","25,454",3.9%,,
41033,Josephine,3,"62,649","75,729","82,718","88,088","87,821",-0.3%,,
41035,Klamath,5,"57,702","63,771","66,383","69,419","70,003",0.8%,,
41037,Lake,9,"7,186","7,421","7,885","8,163","8,293",1.6%,,
41039,Lane,2,"282,912","323,011","351,705","382,983","381,181",-0.5%,,
41041,Lincoln,5,"38,889","44,481","46,033","50,399","50,821",0.8%,,
41043,Linn,3,"91,227","103,079","116,681","128,611","131,496",2.2%,,
41045,Malheur,6,"26,038","31,618","31,316","31,567","32,044",1.5%,,
41047,Marion,2,"228,483","284,844","315,342","345,910","346,741",0.2%,,
41049,Morrow,8,"7,625","10,995","11,175","12,186","12,302",1.0%,,
41051,Multnomah,1,"583,887","660,602","735,152","815,418","789,698",-3.2%,,
41053,Polk,2,"49,541","62,412","75,403","87,431","89,805",2.7%,,
41055,Sherman,9,"1,918","1,934","1,766","1,864","1,951",4.7%,,
41057,Tillamook,7,"21,570","24,264","25,244","27,386","27,417",0.1%,,
41059,Umatilla,4,"59,249","70,556","75,887","80,083","80,053",0.0%,,
41061,Union,7,"23,598","24,522","25,737","26,200","25,944",-1.0%,,
41063,Wallowa,9,"6,911","7,230","7,008","7,392","7,674",3.8%,,
41065,Wasco,7,"21,683","23,797","25,211","26,670","26,333",-1.3%,,
41067,Washington,1,"311,554","445,256","529,865","600,369","598,865",-0.3%,,
41069,Wheeler,9,"1,396","1,551","1,441","1,443","1,436",-0.5%,,
41071,Yamhill,1,"65,551","84,975","99,214","107,726","108,644",0.9%,,
13000,Georgia,,"6,478,149","8,186,653","9,688,737","10,713,771","11,029,227",2.9%,,
13001,Appling,7,"15,744","17,405","18,237","18,445","18,457",0.1%,,
13003,Atkinson,9,"6,213","7,611","8,380","8,286","8,293",0.1%,,
13005,Bacon,9,"9,566","10,098","11,097","11,142","11,124",-0.2%,,
13007,Baker,8,"3,615","4,047","3,447","2,875","2,743",-4.6%,,
13009,Baldwin,4,"39,530","44,616","45,840","43,789","43,396",-0.9%,,
13011,Banks,8,"10,308","14,425","18,373","18,035","19,789",9.7%,,
13013,Barrow,1,"29,721","46,177","69,349","83,504","92,792",11.1%,,
13015,Bartow,1,"55,915","76,062","100,083","108,897","115,041",5.6%,,
13017,Ben Hill,7,"16,245","17,498","17,662","17,194","17,128",-0.4%,,
13019,Berrien,8,"14,153","16,210","19,291","18,159","18,570",2.3%,,
13021,Bibb,3,"150,137","153,955","155,844","157,347","156,512",-0.5%,,
13023,Bleckley,6,"10,430","11,666","13,060","12,585","12,465",-1.0%,,
13025,Brantley,3,"11,077","14,608","18,409","18,021","18,401",2.1%,,
13027,Brooks,3,"15,398","16,456","16,314","16,301","16,245",-0.3%,,
13029,Bryan,2,"15,438","23,430","30,238","44,741","49,739",11.2%,,
13031,Bulloch,4,"43,125","55,961","70,244","79,646","84,327",5.9%,,
13033,Burke,2,"20,579","22,255","23,334","24,594","24,438",-0.6%,,
13035,Butts,1,"15,326","19,460","23,685","25,436","26,887",5.7%,,
13037,Calhoun,8,"5,013","6,317","6,697","5,575","5,457",-2.1%,,
13039,Camden,4,"30,167","43,658","50,525","54,772","58,118",6.1%,,
13043,Candler,9,"7,744","9,561","10,987","10,988","11,059",0.6%,,
13045,Carroll,1,"71,422","87,302","110,565","119,151","127,098",6.7%,,
13047,Catoosa,2,"42,464","53,188","63,928","67,874","68,910",1.5%,,
13049,Charlton,8,"8,496","10,282","12,167","12,516","12,934",3.3%,,
13051,Chatham,2,"216,774","232,372","265,112","295,291","303,655",2.8%,,
13053,Chattahoochee,2,"16,934","14,895","11,263","9,566","8,661",-9.5%,,
13055,Chattooga,6,"22,236","25,423","26,022","24,970","25,222",1.0%,,
13057,Cherokee,1,"90,204","142,013","214,400","266,594","286,602",7.5%,,
13059,Clarke,3,"87,594","101,941","116,670","128,670","129,933",1.0%,,
13061,Clay,9,"3,364","3,342","3,186","2,845","2,853",0.3%,,
13063,Clayton,1,"181,436","236,644","259,639","299,403","298,300",-0.4%,,
13065,Clinch,8,"6,160","6,847","6,792","6,741","6,746",0.1%,,
13067,Cobb,1,"447,745","607,450","688,076","766,112","776,743",1.4%,,
13069,Coffee,7,"29,592","37,421","42,346","43,092","43,317",0.5%,,
13071,Colquitt,6,"36,645","42,050","45,496","45,892","46,167",0.6%,,
13073,Columbia,2,"66,031","89,497","124,013","156,013","165,162",5.9%,,
13075,Cook,6,"13,456","15,779","17,205","17,232","17,714",2.8%,,
13077,Coweta,1,"53,853","89,254","127,368","146,163","155,892",6.7%,,
13079,Crawford,3,"8,991","12,481","12,593","12,128","12,277",1.2%,,
13081,Crisp,6,"20,011","22,020","23,435","20,128","19,631",-2.5%,,
13083,Dade,2,"13,183","15,141","16,644","16,249","16,165",-0.5%,,
13085,Dawson,1,"9,429","15,942","22,377","26,796","31,732",18.4%,,
13087,Decatur,6,"25,517","28,252","27,841","29,368","29,087",-1.0%,,
13089,DeKalb,1,"546,174","666,158","692,031","764,425","762,992",-0.2%,,
13091,Dodge,7,"17,607","19,154","21,792","20,001","19,776",-1.1%,,
13093,Dooly,8,"9,901","11,480","14,920","11,209","10,981",-2.0%,,
13095,Dougherty,3,"96,321","96,067","94,564","85,793","82,645",-3.7%,,
13097,Douglas,1,"71,120","92,315","132,281","144,310","149,160",3.4%,,
13099,Early,8,"11,854","12,333","11,008","10,849","10,563",-2.6%,,
13101,Echols,3,"2,334","3,747","4,023","3,704","3,709",0.1%,,
13103,Effingham,2,"25,687","37,522","52,258","64,771","71,541",10.5%,,
13105,Elbert,6,"18,949","20,509","20,165","19,638","20,013",1.9%,,
13107,Emanuel,7,"20,546","21,856","22,592","22,770","23,119",1.5%,,
13109,Evans,8,"8,724","10,485","11,008","10,773","10,754",-0.2%,,
13111,Fannin,8,"15,992","19,792","23,706","25,321","25,955",2.5%,,
13113,Fayette,1,"62,415","91,313","106,556","119,181","123,351",3.5%,,
13115,Floyd,3,"81,251","90,622","96,318","98,582","100,113",1.6%,,
13117,Forsyth,1,"44,083","98,360","175,498","251,287","272,887",8.6%,,
13119,Franklin,8,"16,650","20,259","22,098","23,424","24,782",5.8%,,
13121,Fulton,1,"648,776","815,579","920,393","1,066,675","1,079,105",1.2%,,
13123,Gilmer,6,"13,368","23,367","28,299","31,349","32,860",4.8%,,
13125,Glascock,9,"2,357","2,563","3,086","2,887","2,954",2.3%,,
13127,Glynn,3,"62,496","67,580","79,630","84,500","86,172",2.0%,,
13129,Gordon,4,"35,067","44,090","55,221","57,544","59,757",3.8%,,
13131,Grady,6,"20,279","23,655","25,019","26,236","26,066",-0.6%,,
13133,Greene,8,"11,793","14,363","15,996","18,913","20,722",9.6%,,
13135,Gwinnett,1,"352,910","588,133","805,241","957,306","983,526",2.7%,,
13137,Habersham,6,"27,622","35,884","43,028","46,034","48,757",5.9%,,
13139,Hall,3,"95,434","139,615","179,765","202,889","217,267",7.1%,,
13141,Hancock,9,"8,908","10,083","9,401","8,736","8,676",-0.7%,,
13143,Haralson,1,"21,966","25,660","28,780","29,917","32,038",7.1%,,
13145,Harris,2,"17,788","23,783","31,992","34,666","36,654",5.7%,,
13147,Hart,6,"19,712","22,981","25,205","25,829","27,556",6.7%,,
13149,Heard,1,"8,628","10,980","11,828","11,409","12,034",5.5%,,
13151,Henry,1,"58,741","119,498","203,777","240,703","254,613",5.8%,,
13153,Houston,3,"89,208","110,740","139,573","163,642","171,974",5.1%,,
13155,Irwin,9,"8,649","9,918","9,513","9,663","9,120",-5.6%,,
13157,Jackson,4,"30,005","41,612","60,470","75,912","88,615",16.7%,,
13159,Jasper,1,"8,453","11,441","13,894","14,590","16,455",12.8%,,
13161,Jeff Davis,9,"12,032","12,673","15,074","14,777","14,906",0.9%,,
13163,Jefferson,8,"17,408","17,239","16,916","15,710","15,183",-3.4%,,
13165,Jenkins,9,"8,247","8,571","8,333","8,676","8,627",-0.6%,,
13167,Johnson,9,"8,329","8,526","9,978","9,188","9,282",1.0%,,
13169,Jones,3,"20,739","23,691","28,648","28,353","28,969",2.2%,,
13171,Lamar,6,"13,038","15,956","18,307","18,498","20,401",10.3%,,
13173,Lanier,3,"5,531","7,246","10,076","9,883","10,452",5.8%,,
13175,Laurens,4,"39,988","44,861","48,436","49,570","49,941",0.7%,,
13177,Lee,3,"16,250","24,766","28,295","33,164","33,872",2.1%,,
13179,Liberty,3,"52,745","61,661","63,584","65,271","69,210",6.0%,,
13181,Lincoln,2,"7,442","8,330","7,996","7,689","7,879",2.5%,,
13183,Long,3,"6,202","10,273","14,345","16,158","19,594",21.3%,,
13185,Lowndes,3,"75,981","92,121","109,257","118,247","120,712",2.1%,,
13187,Lumpkin,1,"14,573","21,041","29,947","33,488","35,258",5.3%,,
13189,McDuffie,2,"20,119","21,263","21,865","21,628","21,799",0.8%,,
13191,McIntosh,3,"8,634","10,839","14,332","10,973","11,501",4.8%,,
13193,Macon,8,"13,114","14,041","14,743","12,080","11,817",-2.2%,,
13195,Madison,3,"21,050","25,705","28,174","30,128","32,191",6.8%,,
13197,Marion,2,"5,590","7,133","8,738","7,505","7,440",-0.9%,,
13199,Meriwether,1,"22,411","22,546","21,976","20,620","20,931",1.5%,,
13201,Miller,9,"6,280","6,368","6,127","6,000","5,747",-4.2%,,
13205,Mitchell,6,"20,275","23,925","23,500","21,763","21,114",-3.0%,,
13207,Monroe,3,"17,113","21,751","26,121","27,956","30,625",9.5%,,
13209,Montgomery,9,"7,379","8,234","9,177","8,610","8,761",1.8%,,
13211,Morgan,1,"12,883","15,499","17,867","20,097","21,460",6.8%,,
13213,Murray,3,"26,147","36,501","39,628","39,976","41,035",2.6%,,
13215,Muscogee,2,"179,280","186,213","190,570","206,919","201,877",-2.4%,,
13217,Newton,1,"41,808","61,906","99,964","112,527","120,135",6.8%,,
13219,Oconee,3,"17,618","25,772","32,840","41,798","44,182",5.7%,,
13221,Oglethorpe,3,"9,763","12,610","14,874","14,826","15,754",6.3%,,
13223,Paulding,1,"41,611","81,615","142,385","168,666","183,164",8.6%,,
13225,Peach,3,"21,189","23,702","28,054","27,986","28,805",2.9%,,
13227,Pickens,1,"14,432","23,022","29,402","33,212","35,969",8.3%,,
13229,Pierce,8,"13,328","15,624","18,760","19,715","20,425",3.6%,,
13231,Pike,1,"10,224","13,460","17,879","18,889","20,461",8.3%,,
13233,Polk,4,"33,815","38,102","41,487","42,851","44,223",3.2%,,
13235,Pulaski,8,"8,108","9,604","12,014","9,854","10,095",2.4%,,
13237,Putnam,8,"14,137","18,774","21,218","22,049","23,129",4.9%,,
13239,Quitman,8,"2,210","2,596","2,510","2,237","2,280",1.9%,,
13241,Rabun,9,"11,648","15,035","16,273","16,878","17,442",3.3%,,
13243,Randolph,8,"8,023","7,791","7,721","6,421","6,078",-5.3%,,
13245,Richmond,2,"189,719","199,552","200,591","206,603","205,414",-0.6%,,
13247,Rockdale,1,"54,091","70,292","85,173","93,513","95,987",2.6%,,
13249,Schley,8,"3,590","3,760","5,013","4,548","4,526",-0.5%,,
13251,Screven,8,"13,842","15,357","14,592","14,065","14,174",0.8%,,
13253,Seminole,8,"9,010","9,364","8,729","9,152","9,092",-0.7%,,
13255,Spalding,1,"54,457","58,461","64,107","67,312","69,946",3.9%,,
13257,Stephens,7,"23,436","25,442","26,162","26,779","27,228",1.7%,,
13259,Stewart,2,"5,654","5,253","6,060","5,314","4,674",-12.0%,,
13261,Sumter,6,"30,232","33,228","32,742","29,615","28,890",-2.4%,,
13263,Talbot,2,"6,524","6,513","6,892","5,735","5,718",-0.3%,,
13265,Taliaferro,8,"1,915","2,076","1,717","1,559","1,609",3.2%,,
13267,Tattnall,8,"17,722","22,314","25,504","24,284","24,296",0.0%,,
13269,Taylor,8,"7,642","8,815","8,982","7,814","7,758",-0.7%,,
13271,Telfair,9,"11,000","11,815","16,492","12,476","10,920",-12.5%,,
13273,Terrell,3,"10,653","10,963","9,507","9,184","8,718",-5.1%,,
13275,Thomas,4,"38,943","42,791","44,719","45,791","45,649",-0.3%,,
13277,Tift,5,"34,998","38,376","40,132","41,357","41,554",0.5%,,
13279,Toombs,7,"24,072","26,133","27,174","27,026","27,040",0.1%,,
13281,Towns,9,"6,754","9,312","10,474","12,488","13,035",4.4%,,
13283,Treutlen,9,"5,994","6,836","6,883","6,401","6,341",-0.9%,,
13285,Troup,4,"55,532","58,753","67,042","69,426","70,742",1.9%,,
13287,Turner,9,"8,703","9,494","8,931","9,003","8,909",-1.0%,,
13289,Twiggs,3,"9,806","10,601","9,035","8,024","7,691",-4.2%,,
13291,Union,8,"11,993","17,286","21,370","24,628","27,124",10.1%,,
13293,Upson,6,"26,300","27,761","27,147","27,700","28,263",2.0%,,
13295,Walker,2,"58,310","61,140","68,739","67,653","69,489",2.7%,,
13297,Walton,1,"38,586","60,637","83,808","96,664","106,702",10.4%,,
13299,Ware,5,"35,471","35,497","36,298","36,247","36,243",0.0%,,
13301,Warren,8,"6,078","6,309","5,834","5,210","5,106",-2.0%,,
13303,Washington,7,"19,112","21,197","21,181","19,994","19,820",-0.9%,,
13305,Wayne,6,"22,356","26,571","30,102","30,139","31,373",4.1%,,
13307,Webster,8,"2,263","2,390","2,799","2,348","2,337",-0.5%,,
13309,Wheeler,9,"4,903","6,170","7,431","7,480","7,081",-5.3%,,
13311,White,8,"13,006","19,976","27,139","27,997","29,026",3.7%,,
13313,Whitfield,3,"72,462","83,561","102,602","102,867","103,687",0.8%,,
13315,Wilcox,9,"7,008","8,625","9,251","8,764","8,779",0.2%,,
13317,Wilkes,8,"10,597","10,706","10,593","9,562","9,518",-0.5%,,
13319,Wilkinson,8,"10,228","10,202","9,569","8,875","8,725",-1.7%,,
13321,Worth,3,"19,744","22,029","21,667","20,774","20,273",-2.4%,,
40000,Oklahoma,,"3,145,576","3,450,451","3,751,582","3,959,411","4,053,824",2.4%,,
40001,Adair,8,"18,421","21,009","22,671","19,497","19,627",0.7%,,
40003,Alfalfa,8,"6,416","6,092","5,639","5,703","5,673",-0.5%,,
40005,Atoka,9,"12,778","13,876","14,165","14,145","14,525",2.7%,,
40007,Beaver,9,"6,023","5,832","5,636","5,053","5,018",-0.7%,,
40009,Beckham,7,"18,812","19,807","22,119","22,408","22,042",-1.6%,,
40011,Blaine,8,"11,470","11,965","11,943","8,728","8,539",-2.2%,,
40013,Bryan,6,"32,089","36,524","42,416","46,071","48,967",6.3%,,
40015,Caddo,6,"29,550","30,146","29,605","26,944","26,214",-2.7%,,
40017,Canadian,1,"74,409","87,729","115,566","154,151","175,829",14.1%,,
40019,Carter,5,"42,919","45,614","47,729","48,006","48,596",1.2%,,
40021,Cherokee,6,"34,049","42,475","46,992","47,080","48,185",2.3%,,
40023,Choctaw,9,"15,302","15,334","15,199","14,204","14,276",0.5%,,
40025,Cimarron,9,"3,301","3,139","2,475","2,292","2,191",-4.4%,,
40027,Cleveland,1,"174,253","208,036","255,991","295,525","301,193",1.9%,,
40029,Coal,9,"5,780","6,035","5,927","5,265","5,266",0.0%,,
40031,Comanche,3,"111,486","114,996","124,093","121,128","121,574",0.4%,,
40033,Cotton,3,"6,651","6,603","6,186","5,523","5,427",-1.7%,,
40035,Craig,6,"14,104","14,951","15,023","14,106","14,494",2.8%,,
40037,Creek,1,"60,915","67,340","69,985","71,752","73,332",2.2%,,
40039,Custer,5,"26,897","26,147","27,542","28,523","28,266",-0.9%,,
40041,Delaware,6,"28,070","36,949","41,500","40,399","41,703",3.2%,,
40043,Dewey,9,"5,551","4,740","4,810","4,482","4,286",-4.4%,,
40045,Ellis,9,"4,497","4,063","4,151","3,747","3,648",-2.6%,,
40047,Garfield,3,"56,735","57,811","60,582","62,839","62,023",-1.3%,,
40049,Garvin,6,"26,605","27,216","27,571","25,655","25,865",0.8%,,
40051,Grady,1,"41,747","45,476","52,423","54,803","57,375",4.7%,,
40053,Grant,8,"5,689","5,144","4,532","4,168","4,083",-2.0%,,
40055,Greer,9,"6,559","6,061","6,239","5,491","5,466",-0.5%,,
40057,Harmon,9,"3,793","3,285","2,922","2,490","2,392",-3.9%,,
40059,Harper,9,"4,063","3,558","3,682","3,270","3,190",-2.4%,,
40061,Haskell,8,"10,940","11,778","12,775","11,558","11,832",2.4%,,
40063,Hughes,9,"13,014","14,150","13,999","13,364","13,436",0.5%,,
40065,Jackson,7,"28,764","28,439","26,446","24,794","24,669",-0.5%,,
40067,Jefferson,8,"7,010","6,820","6,472","5,335","5,347",0.2%,,
40069,Johnston,9,"10,032","10,512","10,957","10,283","10,216",-0.7%,,
40071,Kay,4,"48,056","48,086","46,562","43,690","43,641",-0.1%,,
40073,Kingfisher,8,"13,212","13,932","15,036","15,190","15,481",1.9%,,
40075,Kiowa,8,"11,347","10,225","9,446","8,510","8,398",-1.3%,,
40077,Latimer,9,"10,333","10,689","11,156","9,444","9,526",0.9%,,
40079,Le Flore,6,"43,270","48,099","50,382","48,130","49,596",3.0%,,
40081,Lincoln,1,"29,216","32,070","34,274","33,460","34,562",3.3%,,
40083,Logan,1,"29,011","33,911","41,843","49,545","53,029",7.0%,,
40085,Love,9,"7,788","8,826","9,416","10,145","10,296",1.5%,,
