FIPS*,Name,RUC Code,All people in poverty (2021) Percent,Children ages 0-17 in poverty (2021) Percent
23000,Maine,,11.2,13.8
23001,Androscoggin,3,14,19.1
23003,Aroostook,7,14.9,18.9
23005,Cumberland,2,7.7,8.7
23007,Franklin,8,11.7,15.7
23009,Hancock,8,11,14.2
23011,Kennebec,4,11.3,12.8
23013,Knox,7,10.5,13.5
23015,Lincoln,8,9.2,13.3
23017,Oxford,6,15.1,20.9
23019,Penobscot,3,14.6,15.7
23021,Piscataquis,8,14,21.3
23023,Sagadahoc,2,8.7,11.3
23025,Somerset,6,14.8,19.2
23027,Waldo,8,13.1,18.2
23029,Washington,9,18.2,22.5
23031,York,2,8.3,9.9
08000,Colorado,,9.7,11.8
08001,Adams,1,10,12.9
08003,Alamosa,7,18.3,23.4
08005,Arapahoe,1,8.7,11.5
08007,Archuleta,7,11.4,20.3
08009,Baca,9,20.3,27
08011,Bent,9,30,28.8
08013,Boulder,2,10.7,8.6
08014,Broomfield,1,4.9,5.3
08015,Chaffee,6,10.4,12.8
08017,Cheyenne,9,12.9,20.2
08019,Clear Creek,1,7.6,12.2
08021,Conejos,9,16.7,22.7
08023,Costilla,9,23.1,36
08025,Crowley,8,37.8,31
08027,Custer,8,10.5,22.4
08029,Delta,6,13.9,21.1
08031,Denver,1,11.7,15.8
08033,Dolores,9,13.9,19.3
08035,Douglas,1,2.9,2.8
08037,Eagle,5,7.1,7.5
08039,Elbert,1,5.4,7.1
08041,El Paso,2,9.6,11.5
08043,Fremont,4,15.9,19.4
08045,Garfield,5,9.2,12.5
08047,Gilpin,1,6.9,10.3
08049,Grand,9,7.2,10.1
08051,Gunnison,7,12.3,12.1
08053,Hinsdale,9,7.6,17.2
08055,Huerfano,8,18.6,31.9
08057,Jackson,9,14.8,26
08059,Jefferson,1,7.3,8
08061,Kiowa,9,12.5,19.5
08063,Kit Carson,9,12.1,17.8
08065,Lake,9,11.3,15.9
08067,La Plata,6,10.1,12.1
08069,Larimer,2,11.2,10.6
08071,Las Animas,7,21,29
08073,Lincoln,8,14.9,20.2
08075,Logan,6,16.4,18.1
08077,Mesa,3,10.6,14.4
08079,Mineral,9,9.6,16.2
08081,Moffat,7,10.8,14.4
08083,Montezuma,6,15.2,23.5
08085,Montrose,5,12.5,18.7
08087,Morgan,6,12.4,16.3
08089,Otero,6,19.7,28.7
08091,Ouray,9,6.4,8.5
08093,Park,1,7.3,11.4
08095,Phillips,9,11.9,16.4
08097,Pitkin,7,6.7,6.2
08099,Prowers,7,19.2,25.2
08101,Pueblo,3,16.2,19.4
08103,Rio Blanco,9,10.2,12.8
08105,Rio Grande,9,14.4,21
08107,Routt,7,6,6.6
08109,Saguache,9,21.6,34.7
08111,San Juan,9,13.8,26.1
08113,San Miguel,9,9,9.5
08115,Sedgwick,9,14.2,21.3
08117,Summit,5,6.7,7.4
08119,Teller,2,7.9,13.6
08121,Washington,9,11.6,16.9
08123,Weld,2,9.8,11.3
08125,Yuma,9,13.5,18.2
01000,Alabama,,16.3,22.7
01001,Autauga,2,10.7,16.1
01003,Baldwin,3,10.8,16.4
01005,Barbour,6,23,35.1
01007,Bibb,1,20.6,29
01009,Blount,1,12,16.7
01011,Bullock,8,32.1,41.7
01013,Butler,6,22.7,34.2
01015,Calhoun,3,19.2,25.2
01017,Chambers,6,19.7,32.2
01019,Cherokee,8,18.2,26.6
01021,Chilton,1,15.5,22.4
01023,Choctaw,9,23.3,32.4
01025,Clarke,9,19.4,29.2
01027,Clay,9,18.4,27.6
01029,Cleburne,8,15,22.1
01031,Coffee,4,15.9,24.2
01033,Colbert,3,16.5,23.6
01035,Conecuh,9,22.4,33.9
01037,Coosa,8,17.1,29.9
01039,Covington,6,19.8,28.3
01041,Crenshaw,8,17.5,28.9
01043,Cullman,4,13.5,17.5
01045,Dale,4,15.7,22.7
01047,Dallas,4,29.5,45.4
01049,DeKalb,6,19.4,29.3
01051,Elmore,2,12,17.3
01053,Escambia,6,23.8,29.9
01055,Etowah,3,17.4,25
01057,Fayette,8,19.6,26.5
01059,Franklin,6,18.9,25.1
01061,Geneva,3,21.1,29.1
01063,Greene,2,33.2,51.8
01065,Hale,2,22.1,32.6
01067,Henry,3,15.6,24.6
01069,Houston,3,19.1,27.1
01071,Jackson,6,18.9,27
01073,Jefferson,1,16.9,23.6
01075,Lamar,8,17,24.7
01077,Lauderdale,3,16.2,22.8
01079,Lawrence,3,13.9,23
01081,Lee,3,18,18.4
01083,Limestone,2,9.9,11.8
01085,Lowndes,2,28.3,43
01087,Macon,3,27.5,42.9
01089,Madison,2,10.2,13.9
01091,Marengo,6,24.6,34.2
01093,Marion,9,18.3,24.5
01095,Marshall,4,15.6,22.3
01097,Mobile,2,18.2,24.8
01099,Monroe,8,22.3,33.2
01101,Montgomery,2,21.7,33.5
01103,Morgan,3,13.5,17
01105,Perry,8,33.7,50.3
01107,Pickens,2,21.1,30.1
01109,Pike,6,23.9,30
01111,Randolph,8,21.5,30.1
01113,Russell,2,21.7,31
01115,St. Clair,1,12.8,16.8
01117,Shelby,1,7.7,9.1
01119,Sumter,8,35.1,48.1
01121,Talladega,4,19.1,27.1
01123,Tallapoosa,6,18.3,27.9
01125,Tuscaloosa,2,14.7,18.3
01127,Walker,1,20.2,27.7
01129,Washington,8,20.6,30.6
01131,Wilcox,9,32.4,49.4
01133,Winston,8,19,26.9
40000,Oklahoma,,15.4,20.5
40001,Adair,8,20.8,28.5
40003,Alfalfa,8,16.4,16.9
40005,Atoka,9,17.1,20.3
40007,Beaver,9,11.6,17.1
40009,Beckham,7,18.4,23
40011,Blaine,8,18,24.4
40013,Bryan,6,16.5,21.4
40015,Caddo,6,26.1,36.1
40017,Canadian,1,8.2,10.1
40019,Carter,5,14.2,19.1
40021,Cherokee,6,21.8,24.1
40023,Choctaw,9,18.6,26.5
40025,Cimarron,9,15.9,25.2
40027,Cleveland,1,12.3,13.5
40029,Coal,9,18.7,26.7
40031,Comanche,3,19.2,23.4
40033,Cotton,3,17.6,24.9
40035,Craig,6,17.5,24.4
40037,Creek,1,14.3,19.2
40039,Custer,5,17,20.8
40041,Delaware,6,18.1,26.6
40043,Dewey,9,16.4,21.8
40045,Ellis,9,12.9,18.1
40047,Garfield,3,12.9,18.7
40049,Garvin,6,15.6,21.2
40051,Grady,1,13.4,18.4
40053,Grant,8,14.1,19.2
40055,Greer,9,23,28.5
40057,Harmon,9,27.8,38.8
40059,Harper,9,11.4,17
40061,Haskell,8,21.5,33.6
40063,Hughes,9,21.4,27.2
40065,Jackson,7,14.9,20.6
40067,Jefferson,8,24.2,36.6
40069,Johnston,9,20.9,26.8
40071,Kay,4,15.8,23.4
40073,Kingfisher,8,10.7,14.1
40075,Kiowa,8,20.6,29
40077,Latimer,9,20,27.2
40079,Le Flore,6,23.5,31
40081,Lincoln,1,15.8,20
40083,Logan,1,13.1,15.1
40085,Love,9,15.3,22
40087,McClain,1,9.2,11.2
40089,McCurtain,7,21.5,30.5
40091,McIntosh,8,18.1,27.9
40093,Major,8,10.7,17.7
40095,Marshall,9,14.9,21.3
40097,Mayes,6,14.6,19.1
40099,Murray,9,13.5,19.2
40101,Muskogee,4,19.2,27.1
40103,Noble,8,11.8,15
40105,Nowata,8,15.5,23.1
40107,Okfuskee,8,26.8,33
40109,Oklahoma,1,16.3,23.9
40111,Okmulgee,1,18,24
40113,Osage,1,12.3,18
40115,Ottawa,6,20.5,26.8
40117,Pawnee,1,14.8,20
40119,Payne,4,20.7,20
40121,Pittsburg,7,18.2,24.1
40123,Pontotoc,7,17.4,20.4
40125,Pottawatomie,4,14.4,18.6
40127,Pushmataha,9,18.2,24.5
40129,Roger Mills,9,15,22.2
40131,Rogers,1,9.7,11.8
40133,Seminole,7,20.1,23.6
40135,Sequoyah,3,19.6,26.2
40137,Stephens,4,18.9,24.6
40139,Texas,7,12.9,16
40141,Tillman,8,20.9,28.3
40143,Tulsa,1,14.7,19.1
40145,Wagoner,1,9.7,13
40147,Washington,4,16.7,22.2
40149,Washita,9,15.9,24.8
40151,Woods,7,14.7,17.1
40153,Woodward,7,14,19
13000,Georgia,,14.2,20.5
13001,Appling,7,18.2,27.6
13003,Atkinson,9,23.8,38.7
13005,Bacon,9,23.4,35.7
13007,Baker,8,25.9,41.5
13009,Baldwin,4,24.4,31.6
13011,Banks,8,12.8,19.4
13013,Barrow,1,9.6,13.3
13015,Bartow,1,11.6,17.3
13017,Ben Hill,7,22.1,34.4
13019,Berrien,8,17.2,27.9
13021,Bibb,3,24.5,39
13023,Bleckley,6,19,28.8
13025,Brantley,3,18.4,27.4
13027,Brooks,3,23.5,36
13029,Bryan,2,8.1,11.2
13031,Bulloch,4,21.3,25.3
13033,Burke,2,20.7,30.5
13035,Butts,1,14,20.6
13037,Calhoun,8,34,39.1
13039,Camden,4,11.8,16.6
13043,Candler,9,22,34
13045,Carroll,1,16.3,20
13047,Catoosa,2,11.6,17.2
13049,Charlton,8,24.6,33.5
13051,Chatham,2,15.5,24.1
13053,Chattahoochee,2,16.5,17.1
13055,Chattooga,6,20.2,28.6
13057,Cherokee,1,7,9.2
13059,Clarke,3,21.5,25.4
13061,Clay,9,24.3,38.6
13063,Clayton,1,18.9,29.1
13065,Clinch,8,23.9,31.4
13067,Cobb,1,9.6,12.2
13069,Coffee,7,26,35
13071,Colquitt,6,22.4,30.8
13073,Columbia,2,7.3,9.2
13075,Cook,6,20.1,30.5
13077,Coweta,1,8.1,12.5
13079,Crawford,3,16.3,26.3
13081,Crisp,6,24.2,38.6
13083,Dade,2,11.3,16.7
13085,Dawson,1,9,13.9
13087,Decatur,6,23.8,35.7
13089,DeKalb,1,14.5,22.4
13091,Dodge,7,25.6,31.7
13093,Dooly,8,22.5,33.8
13095,Dougherty,3,26.1,38.4
13097,Douglas,1,12.8,20.8
13099,Early,8,26.1,41.5
13101,Echols,3,21.6,31.7
13103,Effingham,2,9.2,12.6
13105,Elbert,6,19.2,30.3
13107,Emanuel,7,24.1,33.2
13109,Evans,8,23.9,37.1
13111,Fannin,8,13.2,22.9
13113,Fayette,1,6.5,8.6
13115,Floyd,3,16.2,25.2
13117,Forsyth,1,5.3,5.6
13119,Franklin,8,16.5,27.7
13121,Fulton,1,13.7,19.3
13123,Gilmer,6,14,23.3
13125,Glascock,9,15.3,19.4
13127,Glynn,3,16.5,26.1
13129,Gordon,4,12.8,17.5
13131,Grady,6,22.4,31.3
13133,Greene,8,14,26.4
13135,Gwinnett,1,10.8,15.6
13137,Habersham,6,13.3,19
13139,Hall,3,12.1,16.1
13141,Hancock,9,30.5,44
13143,Haralson,1,14.9,20.6
13145,Harris,2,8.2,9.7
13147,Hart,6,15.8,24
13149,Heard,1,17.2,26
13151,Henry,1,9.5,14
13153,Houston,3,11.6,16.3
13155,Irwin,9,21.4,29.9
13157,Jackson,4,11.9,13.3
13159,Jasper,1,14.7,20.8
13161,Jeff Davis,9,19.4,29.9
13163,Jefferson,8,20.3,31.5
13165,Jenkins,9,27.4,37.2
13167,Johnson,9,26.7,32.3
