County_FIPS_x,County,state_FIPS,State,pop_Year,pop_Population,pop_merge_indicator,pov_poverty_rate_percent,pov_merge_indicator,minc_median_income_USD_2021,minc_merge_indicator,state_county,opioid_YEAR,opioid_State,opioid_County,opioid_morphine_equivalent_g,opioid_state_county_yr,opioid_merge_indicator,FIPS|YEAR,County_FIPS_y,mort_year,mort_overdose_deaths,mort_merge_indicator
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2006,AL,AUTAUGA,53760.37711740125,AL|AUTAUGA|2006,both,01001|2006,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2007,AL,AUTAUGA,55402.0576826258,AL|AUTAUGA|2007,both,01001|2007,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2008,AL,AUTAUGA,59367.7314833342,AL|AUTAUGA|2008,both,01001|2008,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2009,AL,AUTAUGA,60570.9675013995,AL|AUTAUGA|2009,both,01001|2009,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2010,AL,AUTAUGA,64707.887250940745,AL|AUTAUGA|2010,both,01001|2010,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2011,AL,AUTAUGA,68464.493617539,AL|AUTAUGA|2011,both,01001|2011,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2012,AL,AUTAUGA,72167.7303291125,AL|AUTAUGA|2012,both,01001|2012,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2013,AL,AUTAUGA,72475.54321882025,AL|AUTAUGA|2013,both,01001|2013,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2014,AL,AUTAUGA,76940.4716413325,AL|AUTAUGA|2014,both,01001|2014,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2015,AL,AUTAUGA,77471.45106824,AL|AUTAUGA|2015,both,01001|2015,,,,left_only
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2006,AL,BALDWIN,172218.78926835494,AL|BALDWIN|2006,both,01003|2006,01003,2006.0,11.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2007,AL,BALDWIN,190114.66164764625,AL|BALDWIN|2007,both,01003|2007,01003,2007.0,24.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2008,AL,BALDWIN,191561.322629989,AL|BALDWIN|2008,both,01003|2008,01003,2008.0,19.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2009,AL,BALDWIN,212566.7779336985,AL|BALDWIN|2009,both,01003|2009,01003,2009.0,29.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2010,AL,BALDWIN,237821.50535909648,AL|BALDWIN|2010,both,01003|2010,01003,2010.0,24.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2011,AL,BALDWIN,266329.32944764826,AL|BALDWIN|2011,both,01003|2011,01003,2011.0,23.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2012,AL,BALDWIN,310835.1029772165,AL|BALDWIN|2012,both,01003|2012,01003,2012.0,24.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2013,AL,BALDWIN,324592.0143806522,AL|BALDWIN|2013,both,01003|2013,01003,2013.0,20.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2014,AL,BALDWIN,328713.760475051,AL|BALDWIN|2014,both,01003|2014,01003,2014.0,32.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2015,AL,BALDWIN,317830.261636436,AL|BALDWIN|2015,both,01003|2015,01003,2015.0,40.0,both
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2006,AL,BARBOUR,12266.765676882,AL|BARBOUR|2006,both,01005|2006,,,,left_only
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2007,AL,BARBOUR,13852.015708243249,AL|BARBOUR|2007,both,01005|2007,,,,left_only
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2008,AL,BARBOUR,15334.2876686154,AL|BARBOUR|2008,both,01005|2008,,,,left_only
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2009,AL,BARBOUR,17343.554249235898,AL|BARBOUR|2009,both,01005|2009,,,,left_only
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2010,AL,BARBOUR,18340.163203594,AL|BARBOUR|2010,both,01005|2010,,,,left_only
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2011,AL,BARBOUR,20073.0062148435,AL|BARBOUR|2011,both,01005|2011,,,,left_only
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2012,AL,BARBOUR,22808.8970008615,AL|BARBOUR|2012,both,01005|2012,,,,left_only
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2013,AL,BARBOUR,21828.33870834,AL|BARBOUR|2013,both,01005|2013,,,,left_only
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2014,AL,BARBOUR,21063.964822839498,AL|BARBOUR|2014,both,01005|2014,,,,left_only
01005,BARBOUR,01,AL,2021,"24,533",both,23.0,both,"38,649",both,AL|BARBOUR,2015,AL,BARBOUR,21542.151005634998,AL|BARBOUR|2015,both,01005|2015,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2006,AL,BIBB,16893.219967597,AL|BIBB|2006,both,01007|2006,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2007,AL,BIBB,20372.88442666075,AL|BIBB|2007,both,01007|2007,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2008,AL,BIBB,21045.24139354385,AL|BIBB|2008,both,01007|2008,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2009,AL,BIBB,22819.65603051825,AL|BIBB|2009,both,01007|2009,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2010,AL,BIBB,25331.982227227,AL|BIBB|2010,both,01007|2010,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2011,AL,BIBB,27450.121750816,AL|BIBB|2011,both,01007|2011,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2012,AL,BIBB,31175.036144626,AL|BIBB|2012,both,01007|2012,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2013,AL,BIBB,28881.567858596,AL|BIBB|2013,both,01007|2013,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2014,AL,BIBB,31624.270164209,AL|BIBB|2014,both,01007|2014,,,,left_only
01007,BIBB,01,AL,2021,"22,359",both,20.6,both,"48,454",both,AL|BIBB,2015,AL,BIBB,31197.505626937997,AL|BIBB|2015,both,01007|2015,,,,left_only
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2006,AL,BLOUNT,26243.545303226,AL|BLOUNT|2006,both,01009|2006,,,,left_only
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2007,AL,BLOUNT,28899.555013983998,AL|BLOUNT|2007,both,01009|2007,,,,left_only
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2008,AL,BLOUNT,29137.5014533759,AL|BLOUNT|2008,both,01009|2008,01009,2008.0,15.0,both
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2009,AL,BLOUNT,32237.20311900925,AL|BLOUNT|2009,both,01009|2009,,,,left_only
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2010,AL,BLOUNT,35010.934788094,AL|BLOUNT|2010,both,01009|2010,,,,left_only
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2011,AL,BLOUNT,37507.17247721525,AL|BLOUNT|2011,both,01009|2011,,,,left_only
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2012,AL,BLOUNT,41624.7531471405,AL|BLOUNT|2012,both,01009|2012,01009,2012.0,15.0,both
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2013,AL,BLOUNT,46877.519294565,AL|BLOUNT|2013,both,01009|2013,01009,2013.0,10.0,both
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2014,AL,BLOUNT,45078.797921637495,AL|BLOUNT|2014,both,01009|2014,01009,2014.0,11.0,both
01009,BLOUNT,01,AL,2021,"59,079",both,12.0,both,"56,894",both,AL|BLOUNT,2015,AL,BLOUNT,46770.043357541,AL|BLOUNT|2015,both,01009|2015,01009,2015.0,11.0,both
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2006,AL,BULLOCK,2487.4664906089997,AL|BULLOCK|2006,both,01011|2006,,,,left_only
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2007,AL,BULLOCK,2223.79191993325,AL|BULLOCK|2007,both,01011|2007,,,,left_only
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2008,AL,BULLOCK,2598.25828479025,AL|BULLOCK|2008,both,01011|2008,,,,left_only
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2009,AL,BULLOCK,2616.6824636365,AL|BULLOCK|2009,both,01011|2009,,,,left_only
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2010,AL,BULLOCK,3229.806151927,AL|BULLOCK|2010,both,01011|2010,,,,left_only
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2011,AL,BULLOCK,3637.0559187355,AL|BULLOCK|2011,both,01011|2011,,,,left_only
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2012,AL,BULLOCK,4167.9713676415,AL|BULLOCK|2012,both,01011|2012,,,,left_only
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2013,AL,BULLOCK,4119.146121545,AL|BULLOCK|2013,both,01011|2013,,,,left_only
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2014,AL,BULLOCK,3931.360461865,AL|BULLOCK|2014,both,01011|2014,,,,left_only
01011,BULLOCK,01,AL,2021,"10,143",both,32.1,both,"32,027",both,AL|BULLOCK,2015,AL,BULLOCK,3562.2174649129993,AL|BULLOCK|2015,both,01011|2015,,,,left_only
01013,BUTLER,01,AL,2021,"18,890",both,22.7,both,"39,442",both,AL|BUTLER,2006,AL,BUTLER,10964.6439126995,AL|BUTLER|2006,both,01013|2006,,,,left_only
01013,BUTLER,01,AL,2021,"18,890",both,22.7,both,"39,442",both,AL|BUTLER,2007,AL,BUTLER,11341.9277076985,AL|BUTLER|2007,both,01013|2007,,,,left_only
01013,BUTLER,01,AL,2021,"18,890",both,22.7,both,"39,442",both,AL|BUTLER,2008,AL,BUTLER,13296.05448314625,AL|BUTLER|2008,both,01013|2008,,,,left_only
01013,BUTLER,01,AL,2021,"18,890",both,22.7,both,"39,442",both,AL|BUTLER,2009,AL,BUTLER,13946.409775501,AL|BUTLER|2009,both,01013|2009,,,,left_only
01013,BUTLER,01,AL,2021,"18,890",both,22.7,both,"39,442",both,AL|BUTLER,2010,AL,BUTLER,14989.9266535625,AL|BUTLER|2010,both,01013|2010,,,,left_only
